time,readable_time,acceleration,acceleration_x,acceleration_y,acceleration_z,battery,humidity,pressure,temperature,dev-id
1526083801915,2018-05-12T00:10:01.914999Z,1017.8958689374862,-60,376,944,2929,32.5,1023.67,23.63,C2:9A:9F:E5:58:27
1526083807446,2018-05-12T00:10:07.446000Z,1018.3987431256973,-68,376,944,2953,32.5,1023.7,23.61,C2:9A:9F:E5:58:27
1526083813236,2018-05-12T00:10:13.236000Z,1012.9560701234777,-64,372,940,2947,33,1023.68,23.62,C2:9A:9F:E5:58:27
1526083818575,2018-05-12T00:10:18.575000Z,1023.8593653427213,-72,380,948,2947,32.5,1023.72,23.61,C2:9A:9F:E5:58:27
1526083824216,2018-05-12T00:10:24.216000Z,1024.3593119604077,-68,372,952,2935,32.5,1023.66,23.61,C2:9A:9F:E5:58:27
1526083830166,2018-05-12T00:10:30.165999Z,1014.4318606983911,-64,376,940,2941,33,1023.71,23.62,C2:9A:9F:E5:58:27
1526083835736,2018-05-12T00:10:35.736000Z,1019.6234599105692,-64,380,944,2935,32.5,1023.67,23.61,C2:9A:9F:E5:58:27
1526083841225,2018-05-12T00:10:41.224999Z,1022.890023414052,-68,388,944,2935,33,1023.7,23.61,C2:9A:9F:E5:58:27
1526083846326,2018-05-12T00:10:46.325999Z,1021.6535616342753,-72,384,944,2935,32.5,1023.75,23.61,C2:9A:9F:E5:58:27
1526083851396,2018-05-12T00:10:51.395999Z,1023.0855291714373,-60,380,948,2941,32.5,1023.7,23.61,C2:9A:9F:E5:58:27
1526083856936,2018-05-12T00:10:56.936000Z,1027.2915847022207,-68,380,952,2947,32.5,1023.69,23.62,C2:9A:9F:E5:58:27
1526083862195,2018-05-12T00:11:02.194999Z,1022.3815334795519,-72,376,948,2935,32.5,1023.62,23.61,C2:9A:9F:E5:58:27
1526083868075,2018-05-12T00:11:08.075000Z,1025.818697431471,-68,376,952,2941,32.5,1023.68,23.62,C2:9A:9F:E5:58:27
1526083873616,2018-05-12T00:11:13.615999Z,1016.9287093990414,-68,372,944,2947,33,1023.58,23.61,C2:9A:9F:E5:58:27
1526083879216,2018-05-12T00:11:19.216000Z,1018.1394796392093,-64,376,944,2947,33,1023.72,23.62,C2:9A:9F:E5:58:27
1526083884216,2018-05-12T00:11:24.216000Z,1021.3794593587635,-68,384,944,2935,32.5,1023.67,23.61,C2:9A:9F:E5:58:27
1526083889246,2018-05-12T00:11:29.246000Z,1027.2915847022207,-68,380,952,2935,32.5,1023.68,23.62,C2:9A:9F:E5:58:27
1526083895236,2018-05-12T00:11:35.236000Z,1013.4929698818833,-72,372,940,2947,33,1023.66,23.61,C2:9A:9F:E5:58:27
1526083900336,2018-05-12T00:11:40.335999Z,1019.3802038493783,-60,380,944,2941,32.5,1023.79,23.62,C2:9A:9F:E5:58:27
1526083906213,2018-05-12T00:11:46.213000Z,1020.6429346250333,-68,372,948,2935,32.5,1023.7,23.61,C2:9A:9F:E5:58:27
1526083911965,2018-05-12T00:11:51.964999Z,1019.1918367020019,-68,368,948,2935,32.5,1023.64,23.61,C2:9A:9F:E5:58:27
1526083917206,2018-05-12T00:11:57.206000Z,1016.9287093990414,-68,372,944,2935,32.5,1023.7,23.6,C2:9A:9F:E5:58:27
